row_num,group_key,1,2,3,4,5,6,7,8,9
1,a,1,8,2,,,,,,
1,d,,,,4,5,7,,,
1,g,,,,,,,39,39,6
2,a,5,3,9,,,,,,
2,d,,,,2,6,8,,,
2,g,,,,,,,147,147,17
3,a,4,7,6,,,,,,
3,d,,,,1,3,9,,,
3,g,,,,,,,5,28,28
4,b,9,1,5,,,,,,
4,e,,,,678,278,23,,,
4,h,,,,,,,367,23678,4
5,b,7,4,3,,,,,,
5,e,,,,689,1289,12,,,
5,h,,,,,,,169,125689,12589
6,b,6,2,8,,,,,,
6,e,,,,79,1479,5,,,
6,h,,,,,,,1379,1379,1379
7,c,8,5,1,,,,,,
7,f,,,,79,479,6,,,
7,i,,,,,,,2,3479,379
8,c,3,9,47,,,,,,
8,f,,,,5,12478,124,,,
8,i,,,,,,,1467,1467,17
9,c,2,6,47,,,,,,
9,f,,,,3,1479,14,,,
9,i,,,,,,,8,14579,1579
